actor_id,id_paax,actor_name,actor_type,actor_iso3c,sub_type,cs_type,abbreviation,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,acled_name,acled_other
0,CON_0,Bosnia and Herzegovina,Country/State,BIH,,,,Bosnia and Herzegovina,346.0,Europe,,,,,,50.0,Government of Bosnia-Herzegovina,Government of Bosnia and Herzegovina (2018-),
1,CON_1,Croatia,Country/State,HRV,,,,Croatia,344.0,Europe,,,,,,48.0,Government of Croatia,Government of Croatia (2016-),
2,CON_2,Germany,Country/State,DEU,,,,Germany,255.0,Europe,,,,,,37.0,Government of Germany,Government of Germany (2021-),Government of Germany (2005-2021) | Government of Germany (2021-)
3,CON_3,United States,Country/State,USA,,,,United States,2.0,Americas,P5,,,,,3.0,Government of United States of America,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-)
4,CON_4,Spain,Country/State,ESP,,,,Spain,230.0,Europe,,,,,,35.0,Government of Spain,Government of Spain (2020-),
5,IGO_5,European Union,Intergovernmental Organization,,Regional,,EU,,,Europe,,,1.0,,,,,,
7,CON_7,France,Country/State,FRA,,,,France,220.0,Europe,P5,,,,,33.0,Government of France,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin
8,IGO_8,UN Security Council,Intergovernmental Organization,,,,UNSC,,,,United Nations,1.0,,,,,,,
9,CON_9,Argentina,Country/State,ARG,,,,Argentina,160.0,Americas,,,,,,26.0,Government of Argentina,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-)
10,CON_10,Netherlands,Country/State,NLD,,,,Netherlands,210.0,Europe,,,,,,30.0,Government of Netherlands,Government of the Netherlands (2010-),
11,CON_11,Canada,Country/State,CAN,,,,Canada,20.0,Americas,,,,,,4.0,Government of Canada,Government of Canada (2015-),
12,CON_12,Malaysia,Country/State,MYS,,,,Malaysia,820.0,Asia,,,,,,152.0,Government of Malaysia,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-)
13,CON_13,Namibia,Country/State,NAM,,,,Namibia,565.0,Africa,,,,,,103.0,Government of Namibia,,
14,CON_14,Slovenia,Country/State,SVN,,,,Slovenia,317.0,Europe,,,,,,51.0,Government of Slovenia,Government of Slovenia (2018-),
15,CON_15,Brazil,Country/State,BRA,,,,Brazil,140.0,Americas,,,,,,22.0,Government of Brazil,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-)
16,CON_16,Gambia,Country/State,GMB,,,,Gambia,420.0,Africa,,,,,,71.0,Government of Gambia,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-)
17,CON_17,Gabon,Country/State,GAB,,,,Gabon,481.0,Africa,,,,,,85.0,Government of Gabon,Government of Gabon (2009-),
18,CON_18,Bahrain,Country/State,BHR,,,,Bahrain,692.0,Asia,,,,,,126.0,Government of Bahrain,Government of Bahrain (1999-),
19,CON_19,United Kingdom,Country/State,GBR,,,,United Kingdom,200.0,Europe,P5,,,,,28.0,Government of United Kingdom,Government of the United Kingdom (2010-),
20,CON_20,China,Country/State,CHN,,,,China,710.0,Asia,P5,,,,,135.0,Government of China,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region
21,CON_21,Russia,Country/State,RUS,,,,Russia,365.0,Europe,P5,,,,,57.0,Government of Russia (Soviet Union),Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia
22,CON_22,Yugoslavia,Country/State, ,,,,Yugoslavia,345.0,Europe,,,,,,,,,
42,CON_42,Congo,Country/State,COG,,,,"Congo, Republic of the",484.0,Africa,,,,,,88.0,Government of Congo,Government of the Republic of Congo (1997-),
43,IGO_43,Organization of African Unity,Intergovernmental Organization,,Regional,,OAU,,,Africa,,,1.0,,,,,,
45,CON_45,Georgia,Country/State,GEO,,,,Georgia,372.0,Asia,,,,,,63.0,Government of Georgia,Government of Georgia (2012-),
48,IGO_48,Conference on Security and Cooperation in Europe,Intergovernmental Organization,,Regional,,CSCE,,,Europe,,,1.0,,,,,,
49,IGO_49,United Nations (General),Intergovernmental Organization,,,,UN,,,,United Nations,1.0,,,,,,UN: United Nations,
50,IGO_50,Organization for Security and Cooperation in Europe,Intergovernmental Organization,,Regional,,OSCE,,,Europe,,1.0,1.0,,,,,,
52,CON_52,Ukraine,Country/State,UKR,,,,Ukraine,369.0,Europe,,,,,,61.0,Government of Ukraine,Government of Ukraine (2019-),Government of Ukraine (2014-2019) | Government of Ukraine (2019-)
54,CON_54,Uzbekistan,Country/State,UZB,,,,Uzbekistan,704.0,Asia,,,,,,133.0,Government of Uzbekistan,Government of Uzbekistan (2016-),
55,CON_55,Kyrgyzstan,Country/State,KGZ,,,,Kyrgyzstan,703.0,Asia,,,,,,132.0,Government of Kyrgyzstan,Government of Kyrgyzstan (2017-2020),
56,CON_56,Kazakhstan,Country/State,KAZ,,,,Kazakhstan,705.0,Asia,,,,,,134.0,Government of Kazakhstan,Government of Kazakhstan (2019-),Government of Kazakhstan (1990-2019) | Government of Kazakhstan (2019-)
57,CON_57,Turkmenistan,Country/State,TKM,,,,Turkmenistan,701.0,Asia,,,,,,,,Government of Turkmenistan (2006-),
59,CON_59,Azerbaijan,Country/State,AZE,,,,Azerbaijan,373.0,Asia,,,,,,64.0,Government of Azerbaijan,Government of Azerbaijan (2003-),
61,CON_61,Armenia,Country/State,ARM,,,,Armenia,371.0,Asia,,,,,,62.0,Government of Armenia,Government of Armenia (2018-),Government of Armenia (2008-2018) | Government of Armenia (2018-)
62,CON_62,Tajikistan,Country/State,TJK,,,,Tajikistan,702.0,Asia,,,,,,131.0,Government of Tajikistan,Government of Tajikistan (1994-),
64,IGO_64,United Nations Development Programme,Intergovernmental Organization,,,,UNDP,,,,United Nations,1.0,,,,,,,
65,IGO_65,High Commission for Refugees,Intergovernmental Organization,,,,UNHCR,,,,United Nations,1.0,,,,,,,
70,CON_70,India,Country/State,IND,,,,India,750.0,Asia,,,,,,141.0,Government of India,Government of India (2014-),
75,CON_75,Iraq,Country/State,IRQ,,,,Iraq,645.0,Asia,,,,,,116.0,Government of Iraq,Government of Iraq (2020-),Government of Iraq (2014-2018) | Government of Iraq (2018-2020) | Government of Iraq (2020-)
76,CON_76,Israel,Country/State,ISR,,,,Israel,666.0,Asia,,,,,,121.0,Government of Israel,Government of Israel (2009-2021),
77,CON_77,Syrian Arab Republic,Country/State,SYR,,,,Syria,652.0,Asia,,,,,,118.0,Government of Syria,Government of Syria (2000-),
78,CON_78,Jordan,Country/State,JOR,,,,Jordan,663.0,Asia,,,,,,120.0,Government of Jordan,Government of Jordan (1999-),
79,CON_79,Lebanon,Country/State,LBN,,,,Lebanon,660.0,Asia,,,,,,119.0,Government of Lebanon,Government of Lebanon (2020-2021),Government of Lebanon (2016-2019) | Government of Lebanon (2019-2020) | Government of Lebanon (2020-2021)
81,CON_81,Norway,Country/State,NOR,,,,Norway,385.0,Europe,,,,,,67.0,Government of Norway,Government of Norway (2013-),
82,CON_82,Egypt,Country/State,EGY,,,,Egypt,651.0,Africa,,,,,,117.0,Government of Egypt,Government of Egypt (2014-),Government of Egypt (2012-2013) | Government of Egypt (2013-2014) | Government of Egypt (2014-) | Government of Egypt (1981-2011) | Government of Egypt (2011-2012)
86,CON_86,Burkina Faso,Country/State,BFA,,,,Burkina Faso,439.0,Africa,,,,,,78.0,Government of Burkina Faso,Government of Burkina Faso (2015-),Government of Burkina Faso (1987-2014) | Government of Burkina Faso (2014-2015) | Government of Burkina Faso (2015-)
87,IGO_87,African Union,Intergovernmental Organization,,Regional,,AU,,,Africa,,,1.0,,,,,,
90,CON_90,Nigeria,Country/State,NGA,,,,Nigeria,475.0,Africa,,,,,,84.0,Government of Nigeria,Government of Nigeria (2015-),Government of Nigeria (1999-2015) | Government of Nigeria (2015-)
91,CON_91,Guinea-Bissau,Country/State,GNB,,,,Guinea-Bissau,404.0,Africa,,,,,,70.0,Government of Guinea-Bissau,Government of Guinea-Bissau (2014-2020),
94,CON_94,Ghana,Country/State,GHA,,,,Ghana,452.0,Africa,,,,,,81.0,Government of Ghana,Government of Ghana (2017-),
97,CON_97,Mozambique,Country/State,MOZ,,,,Mozambique,541.0,Africa,,,,,,100.0,Government of Mozambique,Government of Mozambique (1990-),
139,CON_139,Italy,Country/State,ITA,,,,Italy,325.0,Europe,,,,,,44.0,Government of Italy,Government of Italy (2018-),
